pulled_at,source,date,headline,url,tags
2026-07-22T20:34:58.370884,FDA Food Recall,2026-07-15,Adams Extract & Spice LLC — Class I recall (TX),https://www.accessdata.fda.gov/scripts/ires/index.cfm,
2026-07-22T20:34:58.370884,FDA Food Recall,2026-07-15,Bear Stewart Co — Class II recall (IL),https://www.accessdata.fda.gov/scripts/ires/index.cfm,
2026-07-22T20:34:58.370884,FDA Food Recall,2026-07-15,Adams Extract & Spice LLC — Class I recall (TX),https://www.accessdata.fda.gov/scripts/ires/index.cfm,
2026-07-22T20:34:58.370884,FDA Food Recall,2026-07-15,Wise Foods Inc — Class II recall (PA),https://www.accessdata.fda.gov/scripts/ires/index.cfm,
2026-07-22T20:34:58.370884,FDA Food Recall,2026-07-15,Trafa Pharmaceutical Inc. — Class I recall (MA),https://www.accessdata.fda.gov/scripts/ires/index.cfm,
2026-07-22T20:34:58.370884,FDA Food Recall,2026-07-15,"Specialty Bakers, LLC — Class II recall (PA)",https://www.accessdata.fda.gov/scripts/ires/index.cfm,
2026-07-22T20:34:58.370884,FDA Food Recall,2026-07-15,Adams Extract & Spice LLC — Class I recall (TX),https://www.accessdata.fda.gov/scripts/ires/index.cfm,
2026-07-22T20:34:58.370884,FDA Food Recall,2026-07-15,Fresh & Ready Foods LLC — Class I recall (WA),https://www.accessdata.fda.gov/scripts/ires/index.cfm,
2026-07-22T20:34:58.370884,FDA Food Recall,2026-07-15,Wondermade LLC — Class II recall (FL),https://www.accessdata.fda.gov/scripts/ires/index.cfm,
2026-07-22T20:34:58.370884,FDA Food Recall,2026-07-15,Adams Extract & Spice LLC — Class I recall (TX),https://www.accessdata.fda.gov/scripts/ires/index.cfm,
2026-07-22T20:34:58.370884,FDA Food Recall,2026-07-15,"Lehi Valley Trading Company, Inc — Class I recall (AZ)",https://www.accessdata.fda.gov/scripts/ires/index.cfm,
2026-07-22T20:34:58.370884,FDA Food Recall,2026-07-15,Fresh & Ready Foods LLC — Class I recall (WA),https://www.accessdata.fda.gov/scripts/ires/index.cfm,
2026-07-22T20:34:58.370884,FDA Food Recall,2026-07-15,Adams Extract & Spice LLC — Class II recall (TX),https://www.accessdata.fda.gov/scripts/ires/index.cfm,
2026-07-22T20:34:58.370884,FDA Drug Recall,2026-07-15,ONESOURCE SPECIALTY PHARMA LIMITED — Class II recall (N/A),https://www.accessdata.fda.gov/scripts/ires/index.cfm,
2026-07-22T20:34:58.370884,FDA Drug Recall,2026-07-15,Gasco Industrial Corp. — Class II recall (PR),https://www.accessdata.fda.gov/scripts/ires/index.cfm,
2026-07-22T20:34:58.370884,FDA Drug Recall,2026-07-15,Gasco Industrial Corp. — Class II recall (PR),https://www.accessdata.fda.gov/scripts/ires/index.cfm,
